range_days;current_start;current_end;previous_start;previous_end;row_scope;period_presence;page;query;clicks;impressions;ctr;position;previous_clicks;previous_impressions;previous_ctr;previous_position;delta_clicks;delta_impressions;delta_position;post_id;post_title;page_type;seo_title;seo_description;canonical;in_sitemap;noindex;word_count;non_target_query
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;current_only;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome erfahrungen handwerker";1;1;1,0000;1,00;0;0;;;1;1;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome kosten für handwerker";1;24;0,0417;5,46;0;19;0,0000;7,11;1;5;-1,65;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;"checkfox erfahrungen";1;255;0,0039;9,16;2;55;0,0364;9,42;-1;200;-0,25;15276;"Checkfox für Solar- und Wärmepumpen-Betriebe: Seriosität, Mechanik und Markteinordnung";post;"Checkfox seriös? Erfahrungen & Kosten für Solar-Betriebe";"Ist Checkfox seriös? Unabhängige Einordnung für Solar- & Wärmepumpen-Betriebe: Portal-Mechanik, Kosten-Logik und die Alternative zu gekauften Leads.";https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;1;0;703;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;current_only;https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;"checkfox leads";1;2;0,5000;11,50;0;0;;;1;2;;15276;"Checkfox für Solar- und Wärmepumpen-Betriebe: Seriosität, Mechanik und Markteinordnung";post;"Checkfox seriös? Erfahrungen & Kosten für Solar-Betriebe";"Ist Checkfox seriös? Unabhängige Einordnung für Solar- & Wärmepumpen-Betriebe: Portal-Mechanik, Kosten-Logik und die Alternative zu gekauften Leads.";https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;1;0;703;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;"checkfox solar erfahrungen";1;22;0,0455;8,09;0;9;0,0000;7,22;1;13;0,87;15276;"Checkfox für Solar- und Wärmepumpen-Betriebe: Seriosität, Mechanik und Markteinordnung";post;"Checkfox seriös? Erfahrungen & Kosten für Solar-Betriebe";"Ist Checkfox seriös? Unabhängige Einordnung für Solar- & Wärmepumpen-Betriebe: Portal-Mechanik, Kosten-Logik und die Alternative zu gekauften Leads.";https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;1;0;703;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;"ist checkfox seriös";1;38;0,0263;6,71;0;24;0,0000;7,42;1;14;-0,71;15276;"Checkfox für Solar- und Wärmepumpen-Betriebe: Seriosität, Mechanik und Markteinordnung";post;"Checkfox seriös? Erfahrungen & Kosten für Solar-Betriebe";"Ist Checkfox seriös? Unabhängige Einordnung für Solar- & Wärmepumpen-Betriebe: Portal-Mechanik, Kosten-Logik und die Alternative zu gekauften Leads.";https://hasimuener.de/checkfox-solar-waermepumpe-einordnung/;1;0;703;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/;"seo pattensen";0;1;0,0000;13,00;0;1;0,0000;11,00;0;0;2,00;11953;"WordPress-Architektur &amp; Performance Marketing (B2B) · Hannover &amp; DACH";front_page;"WordPress, Tracking & Conversion | Haşim Üner";"WordPress-Entwicklung, technisches SEO, Tracking und Conversion aus Pattensen bei Hannover. Für direkte Projekte, Agenturen und Solar-/Wärmepumpen-Anbieter.";https://hasimuener.de/;1;0;495;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;current_only;https://hasimuener.de/aroundhome-solar-einordnung/;aroundhome;0;1;0,0000;3,00;0;0;;;0;1;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;current_only;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome alternative";0;1;0,0000;19,00;0;0;;;0;1;;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome kosten";0;43;0,0000;6,93;0;37;0,0000;8,38;0;6;-1,45;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome leads kaufen";0;6;0,0000;16,33;0;11;0,0000;17,00;0;-5;-0,67;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome leads kosten";0;14;0,0000;13,71;0;7;0,0000;15,14;0;7;-1,43;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome login";0;3;0,0000;10,33;0;3;0,0000;10,00;0;0;0,33;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
28;2026-08-05;2026-09-01;2026-07-08;2026-08-04;query_page;both;https://hasimuener.de/aroundhome-solar-einordnung/;"aroundhome pv";0;1;0,0000;8,00;0;1;0,0000;16,00;0;0;-8,00;15206;"Aroundhome Erfahrungen für Handwerker: Kosten und Einordnung des Vergleichsportal-Modells";post;"Aroundhome Kosten für Handwerker: Lohnt sich das?";"Was kostet Aroundhome für Handwerker? Rechnen Sie Kosten pro Auftrag mit eigenen Zahlen und prüfen Sie Vertrag, Erfahrungen und Portal-Fit.";https://hasimuener.de/aroundhome-solar-einordnung/;1;0;1083;0
